keyword,priority,volume,kd,cpc,intent,seed,_topic
sales call,P1,810,12,21.39,I,sales call notes,T13_UseCases
management meeting,P1,720,8,6,I,how to run effective meetings,T12_Guides
best mac apps,P1,720,9,0.05,I,best apps for mac,T16_DesktopApp
meetings minutes,P1,740,15,1.94,I,meeting minutes template,T09_Minutes
zoom transcript,P1,720,13,1.75,I,automatic meeting transcription,T05_Transcription
record audio on mac,P1,660,7,1,I,mac recording software,T16_DesktopApp
apps for recording lectures,P1,590,6,1.97,I,best ai notetaker,T02_VS
how to record in teams,P1,590,6,0.05,I,teams meeting recorder,T08_Teams
leadership meeting,P1,590,6,2.29,I,how to run effective meetings,T12_Guides
call scripter,P1,590,6,5.42,I,sales call transcript,T13_UseCases
one on one template,P1,590,6,1.58,I,one on one meeting notes,T14_ProfessionalUseCases
dictara,P1,590,6,0,I,voice to text software,T15_STT
voicemail voice to text,P1,590,6,0.66,I,what is speech to text,T20_AEO_Dictionary
transcribe voice memos,P1,660,16,1.59,I,meeting speech to text,T05_Transcription
where to find google meet recordings,P1,590,7,0,I,google meet recorder,T07_GoogleMeet
can you record a teams meeting,P1,590,7,0.34,I,teams meeting recorder,T08_Teams
how to record a meeting in teams,P1,590,7,0.04,I,teams meeting recorder,T08_Teams
how to find teams recordings,P1,590,7,0,I,teams meeting recorder,T08_Teams
how to find teams recording,P1,590,7,0,I,teams meeting recorder,T08_Teams
call script,P1,590,7,5.42,I,sales call transcript,T13_UseCases
apps on macbook,P1,660,17,0.25,I,best apps for mac,T16_DesktopApp
meeting rule,P1,590,8,0.05,I,how to run effective meetings,T12_Guides
meetings rules,P1,590,8,0.05,I,how to run effective meetings,T12_Guides
mac must have apps,P1,590,8,0.01,I,best apps for mac,T16_DesktopApp
must have apps for mac,P1,590,8,0.01,I,best apps for mac,T16_DesktopApp
must have mac apps,P1,590,8,0.01,I,best apps for mac,T16_DesktopApp
must have macbook apps,P1,590,8,0.01,I,best apps for mac,T16_DesktopApp
must have apps on macbook,P1,590,8,0.01,I,best apps for mac,T16_DesktopApp
must have apps for macos,P1,590,8,0.01,I,best apps for mac,T16_DesktopApp
must have apps mac,P1,590,8,0.01,I,best apps for mac,T16_DesktopApp
must have mac programs,P1,590,8,0.01,I,best apps for mac,T16_DesktopApp
must have app for mac,P1,590,8,0.01,"I,N",best apps for mac,T16_DesktopApp
must-have mac programs,P1,590,8,0.01,I,best apps for mac,T16_DesktopApp
mac apps must have,P1,590,8,0.01,I,best apps for mac,T16_DesktopApp
mac must have applications,P1,590,8,0.01,I,best apps for mac,T16_DesktopApp
must have apps on mac,P1,590,8,0.01,I,best apps for mac,T16_DesktopApp
must have mac app,P1,590,8,0.01,I,best apps for mac,T16_DesktopApp
must have mac applications,P1,590,8,0.01,I,best apps for mac,T16_DesktopApp
minutes of the meeting sample pdf,P1,590,9,0.62,I,meeting minutes template,T09_Minutes
examples of minutes of a meeting pdf,P1,590,9,0.62,I,meeting minutes template,T09_Minutes
one to one questions,P1,590,9,0.1,I,one on one meeting notes,T14_ProfessionalUseCases
agenda for one on one meetings,P1,590,9,0.16,I,one on one meeting notes,T14_ProfessionalUseCases
1 to 1 questions,P1,590,9,0.1,I,one on one meeting notes,T14_ProfessionalUseCases
how to record a teams meeting,P1,610,12,0.07,I,teams meeting recorder,T08_Teams
record teams meeting,P1,590,10,2.4,I,microsoft teams transcription,T08_Teams
1 on 1 templates,P1,590,10,1.58,I,one on one meeting notes,T14_ProfessionalUseCases
best voicemail to text app,P1,590,10,1.56,I,speech to text app,T15_STT
teams recording,P1,610,13,2.82,I,microsoft teams transcription,T08_Teams
self host llm,P1,590,11,1.94,I,local llm,T04_PrivacyOffline
meeting follow ups,P1,590,11,0,I,meeting follow up,T11_ActionItems
one on ones template,P1,590,11,1.58,I,one on one meeting notes,T14_ProfessionalUseCases
committee minutes,P1,590,12,1.64,I,meeting minutes template,T09_Minutes
minutes of committee meeting,P1,590,12,1.64,I,meeting minutes template,T09_Minutes
minutes of meeting examples pdf,P1,590,12,0.62,I,meeting minutes template,T09_Minutes
minutes of meeting sample pdf,P1,590,12,0.62,I,meeting minutes template,T09_Minutes
samples of minutes of meeting pdf,P1,590,12,0.62,I,meeting minutes template,T09_Minutes
example of minutes of meeting pdf,P1,590,12,0.62,I,meeting minutes template,T09_Minutes
sample meeting minutes pdf,P1,590,12,0.62,I,meeting minutes template,T09_Minutes
minute of meeting sample pdf,P1,590,12,0.62,I,meeting minutes template,T09_Minutes
minutes of meeting sample format pdf,P1,590,12,0.62,I,meeting minutes template,T09_Minutes
meeting minutes pdf template,P1,590,12,0.62,I,meeting minutes template,T09_Minutes
meeting minutes example pdf,P1,590,12,0.62,I,meeting minutes template,T09_Minutes
best mail apps for mac,P1,590,12,2.64,I,best apps for mac,T16_DesktopApp
weasel family animals list,P1,590,13,0,I,otter alternative,T01_Competitors
self hosted llm,P1,590,13,1.94,I,local llm,T04_PrivacyOffline
zoom meeting transcript,P1,590,13,2.16,I,automatic meeting transcription,T05_Transcription
zoom meeting transcription,P1,590,13,2.16,I,zoom transcription,T06_Integrations
download zoom recording,P1,590,13,0,I,zoom meeting recorder,T06_Integrations
how to download a zoom recording,P1,590,13,0,I,zoom meeting recorder,T06_Integrations
downloading zoom recordings,P1,590,13,0,I,zoom meeting recorder,T06_Integrations
minutes of meeting format pdf,P1,590,13,0.62,I,meeting minutes template,T09_Minutes
conference agenda,P1,590,13,1.93,I,meeting task list,T11_ActionItems
script calling,P1,590,13,5.42,I,sales call transcript,T13_UseCases
script calls,P1,590,13,5.42,I,sales call transcript,T13_UseCases
callscript,P1,590,13,5.42,I,sales call transcript,T13_UseCases
1 on 1 template,P1,590,13,1.58,I,one on one meeting notes,T14_ProfessionalUseCases
best local llm for coding,P1,590,14,2.95,I,local llm,T04_PrivacyOffline
how to record google meet,P1,590,14,1.33,I,google meet recorder,T07_GoogleMeet
how to record in google meet,P1,590,14,0.68,I,google meet recorder,T07_GoogleMeet
meet recording,P1,590,14,3.06,I,google meet recorder,T07_GoogleMeet
meet recordings,P1,590,14,3.06,I,google meet recorder,T07_GoogleMeet
notes of meeting sample,P1,590,14,1.15,I,meeting minutes template,T09_Minutes
agenda for a conference,P1,590,14,1.93,I,meeting task list,T11_ActionItems
dragon speech recognition softwares,P1,590,14,1.55,I,speech recognition software,T15_STT
best mail app for mac os x,P1,590,14,2.64,I,best apps for mac,T16_DesktopApp
note taking app handwriting,P1,590,14,0,I,offline note taking app,T18_Offline
offline notes,P1,590,14,0.24,I,offline note taking app,T18_Offline
handwriting note taking app,P1,590,14,0,I,offline note taking app,T18_Offline
how to write a transcript,P1,590,15,1.34,I,meeting audio transcription,T05_Transcription
meeting minutes template pdf,P1,590,15,0.62,I,meeting minutes template,T09_Minutes
committee meeting notes,P1,590,15,1.64,I,meeting minutes template,T09_Minutes
meeting minutes examples pdf,P1,590,15,0.62,I,meeting minutes template,T09_Minutes
minutes of meeting template pdf,P1,590,15,0.62,I,meeting minutes template,T09_Minutes
agenda for conference,P1,590,15,1.93,I,meeting task list,T11_ActionItems
one on one questions,P1,590,15,0.1,I,one on one meeting notes,T14_ProfessionalUseCases
one on one agenda,P1,590,15,0.16,I,one on one meeting notes,T14_ProfessionalUseCases
agenda for one on one meeting,P1,590,15,0.16,I,one on one meeting notes,T14_ProfessionalUseCases
agenda for one to one meeting,P1,590,15,0.16,I,one on one meeting notes,T14_ProfessionalUseCases
dragon naturallyspeaking speech recognition software,P1,590,15,1.55,I,speech recognition software,T15_STT
must have applications for mac,P1,590,15,0.01,I,best apps for mac,T16_DesktopApp
mac os apps must have,P1,590,15,0.01,I,best apps for mac,T16_DesktopApp
must get mac apps,P1,590,15,0.01,I,best apps for mac,T16_DesktopApp
mac application must have,P1,590,15,0.01,I,best apps for mac,T16_DesktopApp
mac applications must have,P1,590,15,0.01,I,best apps for mac,T16_DesktopApp
committee minutes of meeting,P1,590,16,1.64,I,meeting minutes template,T09_Minutes
calling scripts,P1,590,16,5.42,I,sales call notes,T13_UseCases
call scripts,P1,590,16,5.42,I,sales call transcript,T13_UseCases
calling script,P1,590,16,5.42,I,sales call transcript,T13_UseCases
call calling script,P1,590,16,5.42,I,sales call transcript,T13_UseCases
script for calling,P1,590,16,5.42,I,sales call transcript,T13_UseCases
ai doctors note,P1,590,16,3.02,I,medical transcription app,T14_ProfessionalUseCases
dragonfly speech recognition software,P1,590,16,1.55,I,speech recognition software,T15_STT
macbook apps,P1,590,16,0.42,I,best apps for mac,T16_DesktopApp
macs applications,P1,590,16,2.15,I,best apps for mac,T16_DesktopApp
app software mac,P1,590,16,0.51,"I,N",best apps for mac,T16_DesktopApp
application on mac,P1,590,16,2.15,I,best apps for mac,T16_DesktopApp
noter download,P1,590,16,0.84,I,offline note taking app,T18_Offline
how to do speech to text on mac,P1,590,16,1.6,I,speech to text,T19_AEO_Questions
animal of the weasel family,P1,590,17,0,I,otter alternative,T01_Competitors
example of meeting notes template,P1,590,17,1.15,I,meeting minutes template,T09_Minutes
meeting minutes sample pdf,P1,590,17,0.62,I,meeting minutes template,T09_Minutes
template action items,P1,590,17,2.16,I,action items from meeting,T11_ActionItems
actionable items template,P1,590,17,2.16,I,action items from meeting,T11_ActionItems
template for action items,P1,590,17,2.16,I,action items from meeting,T11_ActionItems
follow up from meeting,P1,590,17,0,I,meeting follow up,T11_ActionItems
follow up on meeting,P1,590,17,0,I,meeting follow up,T11_ActionItems
follow up meetings,P1,590,17,0,I,meeting follow up,T11_ActionItems
follow up the meeting,P1,590,17,0,I,meeting follow up,T11_ActionItems
follow up on the meeting,P1,590,17,0,I,meeting follow up,T11_ActionItems
meeting follow-up,P1,590,17,0,I,meeting follow up,T11_ActionItems
meeting follow up,P1,590,17,0,I,post meeting follow up,T11_ActionItems
1-1 meeting,P1,590,17,0,I,one on one meeting notes,T14_ProfessionalUseCases
1 1 meeting,P1,590,17,0,I,one on one meeting notes,T14_ProfessionalUseCases
dragon speech recognition software,P1,590,17,1.55,I,speech recognition software,T15_STT
speech recognition software dragon,P1,590,17,1.55,I,speech recognition software,T15_STT
windows mac download free,P1,590,17,0.76,I,best apps for mac,T16_DesktopApp
windows voice typing,P1,590,17,1.13,I,windows speech to text,T17_Windows
voice recorders,P1,590,17,0.44,"L,T",best meeting recorder,T19_AEO_Questions
record a meeting app,P1,590,18,3.86,I,best ai notetaker,T02_VS
self-hosted llm,P1,590,18,1.94,I,local llm,T04_PrivacyOffline
can i record a zoom meeting,P1,590,18,0.19,I,zoom meeting recorder,T06_Integrations
follow up meeting,P1,590,18,0,I,meeting follow up,T11_ActionItems
script call,P1,590,18,5.42,I,sales call transcript,T13_UseCases
best email app for macbook,P1,590,18,2.64,"I,N",best apps for mac,T16_DesktopApp
best mac app for email,P1,590,18,2.64,"I,N",best apps for mac,T16_DesktopApp
best mail app for macos,P1,590,18,2.64,"I,N",macos productivity,T16_DesktopApp
how to turn off text to speech on chromebook,P1,590,18,0,I,speech to text,T19_AEO_Questions
record a meeting app,P1,590,18,3.86,I,best meeting recorder,T19_AEO_Questions
mustelids list,P1,590,19,0,I,otter alternative,T01_Competitors
list of mustelids,P1,590,19,0,I,otter alternative,T01_Competitors
mustelidae list,P1,590,19,0,I,otter alternative,T01_Competitors
how do you write a transcript,P1,590,19,1.34,I,meeting audio transcription,T05_Transcription
video recorder with zoom,P1,590,19,0.51,I,zoom meeting recorder,T06_Integrations
windows software for mac free download,P1,590,19,0.76,I,best apps for mac,T16_DesktopApp
best mail app for mac,P1,590,19,2.64,I,best apps for mac,T16_DesktopApp
best app for mail on mac,P1,590,19,2.64,I,best apps for mac,T16_DesktopApp
screencast for mac,P1,590,19,1.02,I,mac recording software,T16_DesktopApp
best notebooks for note taking,P1,590,19,0.2,I,offline note taking app,T18_Offline
teams ai meeting notes,P1,590,20,2.47,I,ai meeting notes,T03_CoreProduct
best voice to text apps,P1,590,20,1.56,I,offline speech to text,T04_PrivacyOffline
how to share zoom recording,P1,590,20,0,I,zoom meeting recorder,T06_Integrations
how do i share a zoom recording,P1,590,20,0,I,zoom meeting recorder,T06_Integrations
meeting note sample,P1,590,20,1.15,I,meeting minutes template,T09_Minutes
examples of meeting notes,P1,590,20,1.15,I,meeting minutes template,T09_Minutes
meeting agenda template pdf,P1,590,20,1.44,I,meeting notes template,T09_Minutes
action items templates,P1,590,20,2.16,I,action items from meeting,T11_ActionItems
following up with the meeting,P1,590,20,0,I,meeting follow up,T11_ActionItems
1 on 1 agenda,P1,590,20,0.16,I,one on one meeting notes,T14_ProfessionalUseCases
one one meeting agenda,P1,590,20,0.16,I,one on one meeting notes,T14_ProfessionalUseCases
agenda for 1 on 1 meeting,P1,590,20,0.16,I,one on one meeting notes,T14_ProfessionalUseCases
how to use speech to text on mac,P1,590,20,1.6,I,speech to text,T19_AEO_Questions
ai offline,P1,540,15,1.59,I,offline ai,T04_PrivacyOffline
manage meetings,P1,500,12,6,I,how to run effective meetings,T12_Guides
record zoom meeting,P1,540,19,2.89,I,zoom meeting recorder,T06_Integrations
managing meeting,P1,500,15,6,I,how to run effective meetings,T12_Guides
cold call script,P1,500,16,1.5,I,sales call transcript,T13_UseCases
cold call scripts,P1,500,16,1.5,I,sales call transcript,T13_UseCases
script cold call,P1,500,16,1.5,I,sales call transcript,T13_UseCases
